Wavelength (nm),Photon Energy (eV),dE (eV),Average QE
200,6.203488512526681,-0.31036840588000825,-0.001876955161627114
210,5.90808429764446,-0.28149692626326406,0.013748696558915169
220,5.639535011387893,-0.25647497726208535,0.029374348279457424
230,5.394337836979723,-0.2346473196227583,0.04499999999999971
240,5.169573760438901,-0.21549243638824844,0.060625651720541976
250,4.962790810021345,-0.1985910688283843,0.07625130344108424
260,4.77191424040514,-0.18360306363379042,0.09187695516162651
270,4.59517667594569,-0.17025011355133302,0.10750260688216878
280,4.431063223233344,-0.15830273716176535,0.12312825860271107
290,4.278267939673573,-0.14757034820164527,0.13875391032325332
300,4.13565900835112,-0.13789360405727535,0.1543795620437956
310,4.002250653243021,-0.1291384545933214,0.1700052137643379
320,3.877180320329176,-0.12119147277219433,0.18471379177871688
330,3.7596900075919284,-0.11395616096489869,0.20162038307447452
340,3.649110889721577,-0.10735000670606443,0.2164181438998957
350,3.544850578586675,-0.10130211900431396,0.2314380679279011
360,3.4463825069592677,-0.09575131796298164,0.24280980187695514
370,3.353237033798206,-0.09064458100495543,0.24663901791639015
380,3.2649939539614117,-0.08593577160210186,0.24469182928645908
390,3.1812761602700927,-0.08158459329313406,0.23463503649635034
400,3.1017442562633404,-0.07755572448853476,0.2223409801876955
410,3.0260919573300886,-0.0738180992119788,0.21370642782660507
420,2.95404214882223,-0.07034430630788613,0.2071220020855057
430,2.8853434941984566,-0.0671100853282125,0.2026515715775361
440,2.8197675056939464,-0.06409390171795648,0.19884721872640318
450,2.757106005567414,-0.061276587356727585,0.1912148070907195
460,2.6971689184898615,-0.058641035212351866,0.17932031472177454
470,2.6397823457560348,-0.05617193899288431,0.16341940617968279
480,2.5847868802194505,-0.0538555703746213,0.1447049622768815
490,2.5320361275619105,-0.051679587733222565,0.12575264412334278
500,2.4813954050106726,-0.04963287138735195,0.11132690302398329
510,2.4327405931477184,-0.04770538123638701,0.09992440041710117
520,2.38595712020257,-0.045888033379763105,0.09028386050283863
530,2.340939061330823,-0.04417259287958464,0.08280396246089675
540,2.297588337972845,-0.04255158029684791,0.07672619047619049
550,2.2558140045551567,-0.04101819001588014,0.06934741049704551
560,2.215531611616672,-0.039566218687884014,0.06275337212822495
570,2.176662635974274,-0.03819000238569714,0.05695279173381361
580,2.1391339698367866,-0.03688436127849393,0.05160583941605839
590,2.1028774618734514,-0.03564455081535112,0.044954498056687865
600,2.06782950417556,-0.03446621855699261,0.03901693574484916
