Wavelength (nm),Absorption Coefficient,Intensity Ratio at 1m
420,0.024748134801121383,0.9755555895908093
421,0.02446969511318669,0.9758272608050068
422,0.02419125542525199,0.9760990076737844
423,0.023912815737317298,0.9763708302182106
424,0.023634376049382604,0.9766427284593592
425,0.023355936361447907,0.97691470241831
426,0.023077496673513213,0.977186752116149
427,0.022821982124442784,0.977436469450321
428,0.022604443500837394,0.9776491227638628
429,0.022386904877232005,0.977861822342746
430,0.02216936625362662,0.9780745681970359
431,0.02195182763002123,0.9782873603368003
432,0.021734289006415844,0.9785001987721093
433,0.021516750382810455,0.978713083513035
434,0.02129921175920507,0.9789260145696518
435,0.02108167313559968,0.9791389919520362
436,0.020864134511994294,0.979352015670267
437,0.020646595888388904,0.979565085734425
438,0.02042905726478352,0.9797782021545934
439,0.02021151864117813,0.9799913649408577
440,0.019993980017572743,0.9802045741033052
441,0.01979168474350983,0.9804028849142548
442,0.019590119048714744,0.9806005204205315
443,0.019388553353919657,0.9807981957673615
444,0.019186987659124573,0.9809959109627762
445,0.018985421964329487,0.9811936660148082
446,0.0187838562695344,0.9813914609314922
447,0.018582290574739313,0.9815892957208644
448,0.01838072487994423,0.9817871703909625
449,0.018179159185149143,0.981985084949826
450,0.017977593490354056,0.9821830394054958
451,0.01777602779555897,0.9823810337660146
452,0.017574462100763886,0.9825790680394265
453,0.0173728964059688,0.9827771422337778
454,0.017171330711173712,0.9829752563571155
455,0.016969765016378625,0.9831734104174891
456,0.016768199321583542,0.983371604422949
457,0.016660385518684,0.983477631170756
458,0.01658208667983491,0.9835546393420966
459,0.016503787840985818,0.9836316535433237
460,0.016425489002136726,0.9837086737749093
461,0.016347190163287634,0.9837857000373258
462,0.016268891324438543,0.9838627323310453
463,0.01619059248558945,0.98393977065654
464,0.016112293646740362,0.9840168150142824
465,0.01603399480789127,0.9840938654047447
466,0.01595569596904218,0.9841709218283993
467,0.015877397130193087,0.9842479842857186
468,0.015799098291343995,0.9843250527771751
469,0.015720799452494903,0.9844021273032412
470,0.01564250061364581,0.9844792078643894
471,0.015564201774796721,0.9845562944610924
472,0.015485902935947631,0.9846333870938226
473,0.01540760409709854,0.9847104857630529
474,0.015329305258249448,0.9847875904692558
475,0.015251006419400357,0.9848647012129039
476,0.015232538381279715,0.9848828898997039
477,0.01526876607438113,0.9848472105109226
478,0.015304993767482542,0.9848115324146999
479,0.015341221460583957,0.9847758556109889
480,0.01537744915368537,0.9847401800997427
481,0.015413676846786784,0.9847045058809146
482,0.015449904539888199,0.9846688329544578
483,0.015486132232989612,0.9846331613203254
484,0.015522359926091026,0.9845974909784707
485,0.015558587619192439,0.9845618219288467
486,0.015594815312293854,0.9845261541714067
487,0.01563104300539527,0.9844904877061038
488,0.01566727069849668,0.9844548225328913
489,0.015703498391598094,0.9844191586517224
490,0.015739726084699507,0.9843834960625502
491,0.015775953777800923,0.9843478347653278
492,0.015812181470902336,0.9843121747600087
493,0.01584840916400375,0.9842765160465459
494,0.015884636857105162,0.9842408586248925
495,0.015920864550206578,0.984205202495002
496,0.01595709224330799,0.9841695476568274
497,0.015993319936409404,0.9841338941103218
498,0.01602954762951082,0.9840982418554387
499,0.016410706459675448,0.9837232155976312
500,0.01682674257798766,0.983314036332099
501,0.017242778696299872,0.9829050272645133
502,0.017658814814612084,0.9824961883240806
503,0.0180748509329243,0.9820875194400364
504,0.018474955915197835,0.9816946599282447
505,0.018869419260958545,0.9813074937346303
