Wavelength (nm),Photon Energy (eV),dE (eV),Average QE
200,6.203488512526681,-0.31036840588000825,0.2503825136612022
210,5.90808429764446,-0.28149692626326406,0.2799375487900078
220,5.639535011387893,-0.25647497726208535,0.28032786885245903
230,5.394337836979723,-0.2346473196227583,0.27447512223180903
240,5.169573760438901,-0.21549243638824844,0.27527972937809003
250,4.962790810021345,-0.1985910688283843,0.2728727556596409
260,4.77191424040514,-0.18360306363379042,0.27658901351740006
270,4.59517667594569,-0.17025011355133302,0.2738669238187078
280,4.431063223233344,-0.15830273716176535,0.26206499856197873
290,4.278267939673573,-0.14757034820164527,0.2578659764164509
300,4.13565900835112,-0.13789360405727535,0.25573770491803277
310,4.002250653243021,-0.1291384545933214,0.25897736143637784
320,3.877180320329176,-0.12119147277219433,0.258495966692688
330,3.7596900075919284,-0.11395616096489869,0.2643139040680024
340,3.649110889721577,-0.10735000670606443,0.2644808743169399
350,3.544850578586675,-0.10130211900431396,0.2659045153868277
360,3.4463825069592677,-0.09575131796298164,0.26721311475409837
370,3.353237033798206,-0.09064458100495543,0.2660655737704918
380,3.2649939539614117,-0.08593577160210186,0.2641686182669789
390,3.1812761602700927,-0.08158459329313406,0.26254346746150026
400,3.1017442562633404,-0.07755572448853476,0.25886736214605066
410,3.0260919573300886,-0.0738180992119788,0.2524199843871975
420,2.95404214882223,-0.07034430630788613,0.2451990632318501
430,2.8853434941984566,-0.0671100853282125,0.2347146326654524
440,2.8197675056939464,-0.06409390171795648,0.22490241998438718
450,2.757106005567414,-0.061276587356727585,0.2123770491803279
460,2.6971689184898615,-0.058641035212351866,0.20088272383354353
470,2.6397823457560348,-0.05617193899288431,0.19067622950819674
480,2.5847868802194505,-0.0538555703746213,0.17708333333333334
490,2.5320361275619105,-0.051679587733222565,0.16435668156979635
500,2.4813954050106726,-0.04963287138735195,0.14730679156908666
510,2.4327405931477184,-0.04770538123638701,0.13319672131147542
520,2.38595712020257,-0.045888033379763105,0.12698412698412698
530,2.340939061330823,-0.04417259287958464,0.10689365279529218
540,2.297588337972845,-0.04255158029684791,0.09323245060949983
550,2.2558140045551567,-0.04101819001588014,0.08445498993385107
560,2.215531611616672,-0.039566218687884014,0.07727926373310327
570,2.176662635974274,-0.03819000238569714,0.06873536299765809
580,2.1391339698367866,-0.03688436127849393,0.06359614884205049
590,2.1028774618734514,-0.03564455081535112,0.060746812386156646
600,2.06782950417556,-0.03446621855699261,0.05573770491803279
